signature,maxTargetSdk,overrideSourcePosition,trackingBug
|Landroid/nfc/ErrorCodes;->isError(I)Z|,||,||,||
|Landroid/nfc/INfcAdapterExtras;->authenticate(Ljava/lang/String;[B)V|,|30|,|packages/modules/Nfc/framework/java/android/nfc/INfcAdapterExtras.aidl:36:1:36:69|,|170729553|
|Landroid/nfc/INfcAdapterExtras;->close(Ljava/lang/String;Landroid/os/IBinder;)Landroid/os/Bundle;|,|30|,|packages/modules/Nfc/framework/java/android/nfc/INfcAdapterExtras.aidl:28:1:28:69|,|170729553|
|Landroid/nfc/INfcAdapterExtras;->getCardEmulationRoute(Ljava/lang/String;)I|,|30|,|packages/modules/Nfc/framework/java/android/nfc/INfcAdapterExtras.aidl:32:1:32:69|,|170729553|
|Landroid/nfc/INfcAdapterExtras;->getDriverName(Ljava/lang/String;)Ljava/lang/String;|,|30|,|packages/modules/Nfc/framework/java/android/nfc/INfcAdapterExtras.aidl:38:1:38:69|,|170729553|
|Landroid/nfc/INfcAdapterExtras;->open(Ljava/lang/String;Landroid/os/IBinder;)Landroid/os/Bundle;|,|30|,|packages/modules/Nfc/framework/java/android/nfc/INfcAdapterExtras.aidl:26:1:26:69|,|170729553|
|Landroid/nfc/INfcAdapterExtras;->setCardEmulationRoute(Ljava/lang/String;I)V|,|30|,|packages/modules/Nfc/framework/java/android/nfc/INfcAdapterExtras.aidl:34:1:34:69|,|170729553|
|Landroid/nfc/INfcAdapterExtras;->transceive(Ljava/lang/String;[B)Landroid/os/Bundle;|,|30|,|packages/modules/Nfc/framework/java/android/nfc/INfcAdapterExtras.aidl:30:1:30:69|,|170729553|
|Landroid/nfc/NdefRecord;->mId:[B|,|30|,||,|170729553|
|Landroid/nfc/NfcActivityManager;->mAdapter:Landroid/nfc/NfcAdapter;|,||,||,||
|Landroid/nfc/NfcActivityState;->activity:Landroid/app/Activity;|,||,||,||
|Landroid/nfc/NfcActivityState;->mListenTech:I|,||,||,||
|Landroid/nfc/NfcActivityState;->mNfcActivityManager:Landroid/nfc/NfcActivityManager;|,||,||,||
|Landroid/nfc/NfcActivityState;->mPollTech:I|,||,||,||
|Landroid/nfc/NfcActivityState;->readerCallback:Landroid/nfc/NfcAdapter$ReaderCallback;|,||,||,||
|Landroid/nfc/NfcActivityState;->readerModeExtras:Landroid/os/Bundle;|,||,||,||
|Landroid/nfc/NfcActivityState;->readerModeFlags:I|,||,||,||
|Landroid/nfc/NfcActivityState;->resumed:Z|,||,||,||
|Landroid/nfc/NfcActivityState;->token:Landroid/os/Binder;|,||,||,||
|Landroid/nfc/NfcAdapter;->FLAG_NDEF_PUSH_NO_CONFIRM:I|,||,||,||
|Landroid/nfc/NfcAdapter;->attemptDeadServiceRecovery(Landroid/os/RemoteException;)V|,||,||,||
|Landroid/nfc/NfcAdapter;->disableForegroundNdefPush(Landroid/app/Activity;)V|,||,||,||
|Landroid/nfc/NfcAdapter;->disableNdefPush()Z|,||,||,||
|Landroid/nfc/NfcAdapter;->enableForegroundNdefPush(Landroid/app/Activity;Landroid/nfc/NdefMessage;)V|,||,||,||
|Landroid/nfc/NfcAdapter;->enableNdefPush()Z|,||,||,||
|Landroid/nfc/NfcAdapter;->getContext()Landroid/content/Context;|,||,||,||
|Landroid/nfc/NfcAdapter;->getDefaultAdapter()Landroid/nfc/NfcAdapter;|,||,||,||
|Landroid/nfc/NfcAdapter;->getNdefNfceeService()Landroid/nfc/IT4tNdefNfcee;|,||,||,||
|Landroid/nfc/NfcAdapter;->getNfcAdapter(Landroid/content/Context;)Landroid/nfc/NfcAdapter;|,||,||,||
|Landroid/nfc/NfcAdapter;->getNfcAdapterExtrasInterface()Landroid/nfc/INfcAdapterExtras;|,|30|,||,|170729553|
|Landroid/nfc/NfcAdapter;->getService()Landroid/nfc/INfcAdapter;|,||,||,||
|Landroid/nfc/NfcAdapter;->invokeBeam(Landroid/app/Activity;)Z|,||,||,||
|Landroid/nfc/NfcAdapter;->isNdefPushEnabled()Z|,||,||,||
|Landroid/nfc/NfcAdapter;->sService:Landroid/nfc/INfcAdapter;|,||,||,||
|Landroid/nfc/NfcAdapter;->setBeamPushUris([Landroid/net/Uri;Landroid/app/Activity;)V|,||,||,||
|Landroid/nfc/NfcAdapter;->setBeamPushUrisCallback(Landroid/nfc/NfcAdapter$CreateBeamUrisCallback;Landroid/app/Activity;)V|,||,||,||
|Landroid/nfc/NfcAdapter;->setNdefPushMessage(Landroid/nfc/NdefMessage;Landroid/app/Activity;I)V|,||,||,||
|Landroid/nfc/NfcAdapter;->setNdefPushMessage(Landroid/nfc/NdefMessage;Landroid/app/Activity;[Landroid/app/Activity;)V|,||,||,||
|Landroid/nfc/NfcAdapter;->setNdefPushMessageCallback(Landroid/nfc/NfcAdapter$CreateNdefMessageCallback;Landroid/app/Activity;[Landroid/app/Activity;)V|,||,||,||
|Landroid/nfc/NfcAdapter;->setOnNdefPushCompleteCallback(Landroid/nfc/NfcAdapter$OnNdefPushCompleteCallback;Landroid/app/Activity;[Landroid/app/Activity;)V|,||,||,||
|Landroid/nfc/NfcApplicationState;->app:Landroid/app/Application;|,||,||,||
|Landroid/nfc/NfcApplicationState;->nfcActivityManager:Landroid/nfc/NfcActivityManager;|,||,||,||
|Landroid/nfc/NfcApplicationState;->refCount:I|,||,||,||
|Landroid/nfc/NfcManager;-><init>(Landroid/content/Context;)V|,|28|,||,|115609023|
|Landroid/nfc/Tag;->getServiceHandle()I|,||,||,||
|Landroid/nfc/Tag;->getTagService()Landroid/nfc/INfcTag;|,||,||,||
|Landroid/nfc/Tag;->mId:[B|,|30|,||,|170729553|
|Landroid/nfc/cardemulation/HostNfcFService;->getMessenger()Landroid/os/Messenger;|,||,||,||
|Landroid/nfc/cardemulation/HostNfcFService;->getNfcService()Landroid/os/Messenger;|,||,||,||
|Landroid/nfc/cardemulation/HostNfcFService;->setNfcService(Landroid/os/Messenger;)V|,||,||,||
|Landroid/nfc/cardemulation/HostNfcFServiceMsgHandler;->handleMessage(Landroid/os/Message;)V|,||,||,||
|Lcom/android/nfc/module/flags/CustomFeatureFlags;->ceWakeLock()Z|,||,||,||
|Lcom/android/nfc/module/flags/CustomFeatureFlags;->nfcHceLatencyEvents()Z|,||,||,||
|Lcom/android/nfc/module/flags/CustomFeatureFlags;->oemExtension25q4()Z|,||,||,||
|Lcom/android/nfc/module/flags/CustomFeatureFlags;->readerModeAnnotations()Z|,||,||,||
|Lcom/android/nfc/module/flags/CustomFeatureFlags;->readerModeIgnoreFrame()Z|,||,||,||
|Lcom/android/nfc/module/flags/FeatureFlags;->ceWakeLock()Z|,||,||,||
|Lcom/android/nfc/module/flags/FeatureFlags;->nfcHceLatencyEvents()Z|,||,||,||
|Lcom/android/nfc/module/flags/FeatureFlags;->oemExtension25q4()Z|,||,||,||
|Lcom/android/nfc/module/flags/FeatureFlags;->readerModeAnnotations()Z|,||,||,||
|Lcom/android/nfc/module/flags/FeatureFlags;->readerModeIgnoreFrame()Z|,||,||,||
