signature,properties
Landroid/nfc/ErrorCodes;->isError(I)Z,
Landroid/nfc/INfcAdapterExtras;->open(Ljava/lang/String;Landroid/os/IBinder;)Landroid/os/Bundle;,maxTargetSdk=30&trackingBug=170729553L&overrideSourcePosition=%22packages%2Fmodules%2FNfc%2Fframework%2Fjava%2Fandroid%2Fnfc%2FINfcAdapterExtras.aidl%3A26%3A1%3A26%3A69%22
Landroid/nfc/INfcAdapterExtras;->close(Ljava/lang/String;Landroid/os/IBinder;)Landroid/os/Bundle;,maxTargetSdk=30&trackingBug=170729553L&overrideSourcePosition=%22packages%2Fmodules%2FNfc%2Fframework%2Fjava%2Fandroid%2Fnfc%2FINfcAdapterExtras.aidl%3A28%3A1%3A28%3A69%22
Landroid/nfc/INfcAdapterExtras;->transceive(Ljava/lang/String;[B)Landroid/os/Bundle;,maxTargetSdk=30&trackingBug=170729553L&overrideSourcePosition=%22packages%2Fmodules%2FNfc%2Fframework%2Fjava%2Fandroid%2Fnfc%2FINfcAdapterExtras.aidl%3A30%3A1%3A30%3A69%22
Landroid/nfc/INfcAdapterExtras;->getCardEmulationRoute(Ljava/lang/String;)I,maxTargetSdk=30&trackingBug=170729553L&overrideSourcePosition=%22packages%2Fmodules%2FNfc%2Fframework%2Fjava%2Fandroid%2Fnfc%2FINfcAdapterExtras.aidl%3A32%3A1%3A32%3A69%22
Landroid/nfc/INfcAdapterExtras;->setCardEmulationRoute(Ljava/lang/String;I)V,maxTargetSdk=30&trackingBug=170729553L&overrideSourcePosition=%22packages%2Fmodules%2FNfc%2Fframework%2Fjava%2Fandroid%2Fnfc%2FINfcAdapterExtras.aidl%3A34%3A1%3A34%3A69%22
Landroid/nfc/INfcAdapterExtras;->authenticate(Ljava/lang/String;[B)V,maxTargetSdk=30&trackingBug=170729553L&overrideSourcePosition=%22packages%2Fmodules%2FNfc%2Fframework%2Fjava%2Fandroid%2Fnfc%2FINfcAdapterExtras.aidl%3A36%3A1%3A36%3A69%22
Landroid/nfc/INfcAdapterExtras;->getDriverName(Ljava/lang/String;)Ljava/lang/String;,maxTargetSdk=30&trackingBug=170729553L&overrideSourcePosition=%22packages%2Fmodules%2FNfc%2Fframework%2Fjava%2Fandroid%2Fnfc%2FINfcAdapterExtras.aidl%3A38%3A1%3A38%3A69%22
Landroid/nfc/NdefRecord;->mId:[B,maxTargetSdk=30&trackingBug=170729553L
Landroid/nfc/NfcActivityManager;->mAdapter:Landroid/nfc/NfcAdapter;,
Landroid/nfc/NfcActivityState;->resumed:Z,
Landroid/nfc/NfcActivityState;->activity:Landroid/app/Activity;,
Landroid/nfc/NfcActivityState;->readerCallback:Landroid/nfc/NfcAdapter$ReaderCallback;,
Landroid/nfc/NfcActivityState;->readerModeFlags:I,
Landroid/nfc/NfcActivityState;->readerModeExtras:Landroid/os/Bundle;,
Landroid/nfc/NfcActivityState;->token:Landroid/os/Binder;,
Landroid/nfc/NfcActivityState;->mPollTech:I,
Landroid/nfc/NfcActivityState;->mListenTech:I,
Landroid/nfc/NfcActivityState;->mNfcActivityManager:Landroid/nfc/NfcActivityManager;,
Landroid/nfc/NfcAdapter;->FLAG_NDEF_PUSH_NO_CONFIRM:I,
Landroid/nfc/NfcAdapter;->sService:Landroid/nfc/INfcAdapter;,
Landroid/nfc/NfcAdapter;->getNdefNfceeService()Landroid/nfc/IT4tNdefNfcee;,
Landroid/nfc/NfcAdapter;->getNfcAdapter(Landroid/content/Context;)Landroid/nfc/NfcAdapter;,
Landroid/nfc/NfcAdapter;->getDefaultAdapter()Landroid/nfc/NfcAdapter;,
Landroid/nfc/NfcAdapter;->getContext()Landroid/content/Context;,
Landroid/nfc/NfcAdapter;->getService()Landroid/nfc/INfcAdapter;,
Landroid/nfc/NfcAdapter;->attemptDeadServiceRecovery(Landroid/os/RemoteException;)V,
Landroid/nfc/NfcAdapter;->setBeamPushUris([Landroid/net/Uri;Landroid/app/Activity;)V,
Landroid/nfc/NfcAdapter;->setBeamPushUrisCallback(Landroid/nfc/NfcAdapter$CreateBeamUrisCallback;Landroid/app/Activity;)V,
Landroid/nfc/NfcAdapter;->setNdefPushMessage(Landroid/nfc/NdefMessage;Landroid/app/Activity;[Landroid/app/Activity;)V,
Landroid/nfc/NfcAdapter;->setNdefPushMessage(Landroid/nfc/NdefMessage;Landroid/app/Activity;I)V,
Landroid/nfc/NfcAdapter;->setNdefPushMessageCallback(Landroid/nfc/NfcAdapter$CreateNdefMessageCallback;Landroid/app/Activity;[Landroid/app/Activity;)V,
Landroid/nfc/NfcAdapter;->setOnNdefPushCompleteCallback(Landroid/nfc/NfcAdapter$OnNdefPushCompleteCallback;Landroid/app/Activity;[Landroid/app/Activity;)V,
Landroid/nfc/NfcAdapter;->invokeBeam(Landroid/app/Activity;)Z,
Landroid/nfc/NfcAdapter;->enableForegroundNdefPush(Landroid/app/Activity;Landroid/nfc/NdefMessage;)V,
Landroid/nfc/NfcAdapter;->disableForegroundNdefPush(Landroid/app/Activity;)V,
Landroid/nfc/NfcAdapter;->enableNdefPush()Z,
Landroid/nfc/NfcAdapter;->disableNdefPush()Z,
Landroid/nfc/NfcAdapter;->isNdefPushEnabled()Z,
Landroid/nfc/NfcAdapter;->getNfcAdapterExtrasInterface()Landroid/nfc/INfcAdapterExtras;,maxTargetSdk=30&trackingBug=170729553L
Landroid/nfc/NfcApplicationState;->refCount:I,
Landroid/nfc/NfcApplicationState;->app:Landroid/app/Application;,
Landroid/nfc/NfcApplicationState;->nfcActivityManager:Landroid/nfc/NfcActivityManager;,
Landroid/nfc/NfcManager;-><init>(Landroid/content/Context;)V,maxTargetSdk=28&trackingBug=115609023L
Landroid/nfc/Tag;->mId:[B,maxTargetSdk=30&trackingBug=170729553L
Landroid/nfc/Tag;->getServiceHandle()I,
Landroid/nfc/Tag;->getTagService()Landroid/nfc/INfcTag;,
Landroid/nfc/cardemulation/HostNfcFService;->getNfcService()Landroid/os/Messenger;,
Landroid/nfc/cardemulation/HostNfcFService;->getMessenger()Landroid/os/Messenger;,
Landroid/nfc/cardemulation/HostNfcFService;->setNfcService(Landroid/os/Messenger;)V,
Landroid/nfc/cardemulation/HostNfcFServiceMsgHandler;->handleMessage(Landroid/os/Message;)V,
